,mPA,mIoU,train_loss,val_loss
0,0.5,0.04176457722981771,0.7884842751340734,0.78276260693868
1,0.5,0.04176457722981771,0.7749067733271254,0.7692909191052119
2,0.5,0.04176457722981771,0.7618378556023041,0.7563155376248889
3,0.5000248940454589,0.041791569338076644,0.7492130531205071,0.7437202524807718
4,0.5050418501098951,0.04721102576392392,0.7369533580624394,0.7314709433250957
5,0.5101381296084987,0.05860174188597335,0.7249808646738529,0.7194226152367063
6,0.10758420850874649,0.06300481771015459,0.7132510298656093,0.7076410833332274
7,0.12398295528772804,0.11309250133732955,0.701731555784742,0.6960857949323125
8,0.49322299907604855,0.4519636900060707,0.690427485646473,0.6846504434943199
9,0.4999936657647292,0.45822962125142414,0.6792154154843755,0.6733712760938538
