,mPA,mIoU,train_loss,val_loss
0,0.5,0.4582354227701823,0.4162771206400875,0.24599631275567743
1,0.6152991871866915,0.5854272436764505,0.1813743496572392,0.12764143105596304
2,0.8517793830898073,0.807610557311111,0.09722770438788252,0.06944876578119066
3,0.8650309650434388,0.8230639282200072,0.06634293891127324,0.05965794390067458
4,0.8809617848859893,0.834109500878387,0.060803308584986046,0.05655354750342667
5,0.8809385937121179,0.8358163154787488,0.05882927202360912,0.0550545365549624
6,0.8718108013272285,0.8321313253707356,0.05710874190683373,0.054574823188078075
7,0.8852495791183578,0.8400579964121183,0.056227767607197165,0.053207684178940125
8,0.8811701693468623,0.8386049055390887,0.055420677714411996,0.05262084866666959
9,0.8975799472795593,0.846402126053969,0.05425797737229408,0.05238892792517112
