,mPA,mIoU,train_loss,val_loss
0,0.9842613902356889,0.9407457899716165,0.4084253064874146,0.3061252008709643
1,0.9880641276637713,0.9683388943473498,0.27821312891319394,0.2640297841280699
2,0.9919924272431268,0.9743220723337598,0.24868129856056637,0.24330841915475
3,0.991964288883739,0.9785008165571425,0.23136050921554366,0.22764171618554327
4,0.9934461745950911,0.9784101305736436,0.21707143117156294,0.21440669977002674
5,0.9948777266674571,0.9817948896023962,0.20436978314278853,0.20175517019298342
6,0.9946062134371864,0.9832306620147493,0.1928567057992849,0.19062167261209753
7,0.9944298615058264,0.982580094701714,0.18205637164000008,0.18066549694372547
8,0.995963342487812,0.9825615411003431,0.17215957187323105,0.17104891956680351
9,0.9946054658955998,0.9852617018752627,0.16290114680305123,0.16151796012288994
